Easting Northing EcaH1 I1 EcaH05 i05 elevation
741482.829 3669643.633 27.01 -1.7 17.82 -0.9 73.232
741482.306 3669643.647 26.93 -1.69 17.66 -0.9 73.235
741481.828 3669643.66 26.38 -1.67 17.86 -0.89 73.238
741481.119 3669643.676 26.81 -1.67 17.2 -0.88 73.249
741480.247 3669643.694 25.41 -1.64 17.55 -0.88 73.266
741479.539 3669643.705 25.45 -1.64 16.84 -0.89 73.277
741479.058 3669643.71 24.63 -1.66 17.08 -0.89 73.281
741478.492 3669643.716 24.78 -1.64 16.38 -0.89 73.285
741477.972 3669643.722 24.16 -1.65 16.41 -0.89 73.291
741476.946 3669643.737 24.16 -1.66 16.06 -0.89 73.317
741475.987 3669643.755 23.73 -1.64 16.22 -0.89 73.337
741475.591 3669643.766 24.16 -1.66 16.41 -0.89 73.341
741475.154 3669643.779 24 -1.64 16.06 -0.9 73.345
741474.639 3669643.793 23.26 -1.65 15.67 -0.91 73.35
741473.762 3669643.819 24 -1.63 16.18 -0.9 73.362
741472.776 3669643.848 24.86 -1.64 16.57 -0.91 73.377
741472.093 3669643.865 24.27 -1.65 17.04 -0.91 73.383
741471.349 3669643.882 25.25 -1.67 17.2 -0.92 73.389
741470.774 3669643.895 24.66 -1.66 17.31 -0.93 73.393
741469.922 3669643.915 24.9 -1.69 17.51 -0.93 73.391
741468.902 3669643.939 25.99 -1.7 17.9 -0.93 73.392
741468.449 3669643.949 25.56 -1.7 17.74 -0.93 73.404
741467.722 3669643.966 25.64 -1.74 17.94 -0.96 73.423
741467.313 3669643.975 24.66 -1.74 17.78 -0.95 73.433
741466.481 3669643.998 24.55 -1.71 17.66 -0.94 73.442
741465.354 3669644.031 25.41 -1.69 17.66 -0.93 73.447
741464.746 3669644.045 25.33 -1.69 18.41 -0.94 73.461
741464.268 3669644.054 26.03 -1.71 18.09 -0.95 73.475
741463.532 3669644.068 25.45 -1.71 17.9 -0.95 73.496
741462.841 3669644.084 25.84 -1.71 17.51 -0.95 73.506
741461.871 3669644.109 24.7 -1.69 17.43 -0.94 73.508
741461.075 3669644.129 24.27 -1.7 17.2 -0.93 73.516
741460.606 3669644.139 24.35 -1.71 17.82 -0.93 73.532
741460.053 3669644.152 24.04 -1.69 17.35 -0.93 73.552
741459.456 3669644.165 24.23 -1.69 17.39 -0.93 73.572
741458.623 3669644.167 24.82 -1.65 17.39 -0.92 73.563
741457.592 3669644.167 24.9 -1.67 17.31 -0.9 73.547
